name,code,country,timezone,added_date,deleted_date
BCBA,XBUE,Argentina,America/Argentina/Buenos_Aires,2023-09-25,
ASX,XASX,Australia,Australia/Sydney,2023-09-25,
CXA,CXAC,Australia,Australia/Sydney,2023-09-25,
VSE,XWBO,Austria,Europe/Vienna,2023-09-25,
BHB,XBAH,Bahrain,Asia/Bahrain,2023-09-25,
DSE,XDHA,Bangladesh,Asia/Dhaka,2023-09-25,
Euronext,XBRU,Belgium,Europe/Brussels,2023-09-25,
SASE,XSSE,Bosnia & Herzegovina,Europe/Sarajevo,2023-09-25,
BSE,XBOT,Botswana,Africa/Gaborone,2023-09-25,
Bovespa,BVMF,Brazil,America/Paramaribo,2023-09-25,
BSE,XBUL,Bulgaria,Europe/Sofia,2023-09-25,
CSE,XCNQ,Canada,America/Toronto,2023-09-25,
TSX,XTSE,Canada,America/Toronto,2023-09-25,
TSXV,XTSX,Canada,America/Toronto,2023-09-25,
NEO,NEOE,Canada,America/Toronto,2023-09-25,
BVS,XSGO,Chile,America/Santiago,2023-09-25,
SSE,XSHG,China,Asia/Shanghai,2023-09-25,
SZSE,XSHE,China,Asia/Shanghai,2023-09-25,
BVC,XBOG,Colombia,America/New_York,2023-09-25,
BNV,XBNV,Costa Rica,America/Costa_Rica,2023-09-25,
BRVM,XBRV,C̫te d'Ivoire,Africa/Abidjan,2023-09-25,
ZSE,XZAG,Croatia,Europe/Zagreb,2023-09-25,
CSE,XECM,Cyprus,Asia/Nicosia,2023-09-25,
PSE,XPRA,Czech Republic,Europe/Prague,2023-09-25,
OMXC,XCSE,Denmark,Europe/Copenhagen,2023-09-25,
DSME,DSME,Denmark,Europe/Copenhagen,2023-09-25,
EGX,XCAI,Egypt,Africa/Cairo,2023-09-25,
OMXT,XTAL,Estonia,Europe/Tallinn,2023-09-25,
OMXH,XHEL,Finland,Europe/Helsinki,2023-09-25,
Euronext,XPAR,France,Europe/Paris,2023-09-25,
EUREX,XEUR,Germany,Europe/Zurich,2023-09-25,
Munich,XMUN,Germany,Europe/Berlin,2023-09-25,
XBER,XBER,Germany,Europe/Berlin,2023-09-25,
XSTU,XSTU,Germany,Europe/Berlin,2023-09-25,
XHAN,XHAN,Germany,Europe/Berlin,2023-09-25,
XHAM,XHAM,Germany,Europe/Berlin,2023-09-25,
XDUS,XDUS,Germany,Europe/Berlin,2023-09-25,
FSX,XFRA,Germany,Europe/Berlin,2023-09-25,
XETR,XETR,Germany,Europe/Berlin,2023-09-25,
ASE,ASEX,Greece,Europe/Athens,2023-09-25,
HKEX,XHKG,Hong Kong,Asia/Hong_Kong,2023-09-25,
BSE,XBUD,Hungary,Europe/Budapest,2023-09-25,
ICEX,XICE,Iceland,Atlantic/Reykjavik,2023-09-25,
NSE,XNSE,India,Asia/Kolkata,2023-09-25,
BSE,XBOM,India,Asia/Kolkata,2023-09-25,
IDX,XIDX,Indonesia,Asia/Jakarta,2023-09-25,
ISX,XIQS,Iraq,Asia/Baghdad,2023-09-25,
XMSM,XMSM,Ireland,Europe/Dublin,2023-09-25,
XESM,XESM,Ireland,Europe/Dublin,2023-09-25,
ISE,XDUB,Ireland,Europe/Dublin,2023-09-25,
TASE,XTAE,Israel,Asia/Jerusalem,2023-09-25,
MTA,XMIL,Italy,Europe/Rome,2023-09-25,
JSE,XJAM,Jamaica,America/Jamaica,2023-09-25,
JPX,XJPX,Japan,Asia/Tokyo,2023-09-25,
XSAP,XSAP,Japan,Asia/Tokyo,2023-09-25,
ASE,XAMM,Jordan,Asia/Amman,2023-09-25,
KASE,XKAZ,Kazakhstan,Asia/Almaty,2023-09-25,
XKUW,XKUW,Kuwait,Asia/Kuwait,2023-09-25,
OMXR,XRIS,Latvia,Europe/Riga,2023-09-25,
BSE,XBEY,Lebanon,Asia/Beirut,2023-09-25,
OMXV,XLIT,Lithuania,Europe/Vilnius,2023-09-25,
LuxSE,XLUX,Luxembourg,Europe/Luxembourg,2023-09-25,
MSE,XMSW,Malawi,Africa/Blantyre,2023-09-25,
MYX,XKLS,Malaysia,Asia/Kuala_Lumpur,2023-09-25,
MSE,XMAL,Malta,Europe/Malta,2023-09-25,
SEM,XMAU,Mauritius,Indian/Mauritius,2023-09-25,
BMV,XMEX,Mexico,America/Swift_Current,2023-09-25,
MSE,XULA,Mongolia,Asia/Ulaanbaatar,2023-09-25,
MNSE,XMNX,Montenegro,Europe/Podgorica,2023-09-25,
BC,XCAS,Morocco,Africa/Casablanca,2023-09-25,
NSX,XNAM,Namibia,Africa/Windhoek,2023-09-25,
Euronext,XAMS,Netherlands,Europe/Amsterdam,2023-09-25,
NZX,XNZE,New Zealand,Pacific/Auckland,2023-09-25,
NSE,XNSA,Nigeria,Africa/Lagos,2023-09-25,
OSE,XOSL,Norway,Europe/Oslo,2023-09-25,
MSM,XMUS,Oman,Asia/Muscat,2023-09-25,
PSX,XKAR,Pakistan,Asia/Karachi,2023-09-25,
PEX,XPAE,Palestinian Territories,Asia/Jerusalem,2023-09-25,
BVL,XLIM,Peru,America/Lima,2023-09-25,
PSE,XPHS,Philippines,Asia/Manila,2023-09-25,
GPW,XWAR,Poland,Europe/Warsaw,2023-09-25,
Euronext,XLIS,Portugal,Europe/Lisbon,2023-09-25,
QE,DSMD,Qatar,Asia/Qatar,2023-09-25,
BVB,XBSE,Romania,Europe/Bucharest,2023-09-25,
MOEX,MISX,Russia,Europe/Moscow,2023-09-25,
RSE,RSEX,Rwanda,Africa/Kigali,2023-09-25,
Tadawul,XSAU,Saudi Arabia,Asia/Riyadh,2023-09-25,
BELEX,XBEL,Serbia,Europe/Belgrade,2023-09-25,
SGX,XSES,Singapore,Asia/Singapore,2023-09-25,
BSSE,XBRA,Slovakia,Europe/Bratislava,2023-09-25,
XLJU,XLJU,Slovenia,Europe/Ljubljana,2023-09-25,
JSE,XJSE,South Africa,Africa/Johannesburg,2023-09-25,
KONEX,XKON,South Korea,Asia/Seoul,2023-09-25,
KRX,XKRX,South Korea,Asia/Seoul,2023-09-25,
KOSDAQ,XKOS,South Korea,Asia/Seoul,2023-09-25,
BME,XMAD,Spain,Europe/Madrid,2023-09-25,
BME,XBIL,Spain,Europe/Madrid,2023-09-25,
BME,XBAR,Spain,Europe/Madrid,2023-09-25,
CSE,XCOL,Sri Lanka,Asia/Colombo,2023-09-25,
SSME,SSME,Sweden,Europe/Stockholm,2023-09-25,
Spotlight Stock Market,XSAT,Sweden,Europe/Stockholm,2023-09-25,
OMX,XSTO,Sweden,Europe/Stockholm,2023-09-25,
SIX,XSWX,Switzerland,Europe/Zurich,2023-09-25,
TWSE,XTAI,Taiwan,Asia/Taipei,2023-09-25,
TPEX,ROCO,Taiwan,Asia/Taipei,2023-09-25,
DSE,XDAR,Tanzania,Africa/Dar_es_Salaam,2023-09-25,
SET,XBKK,Thailand,Asia/Bangkok,2023-09-25,
BVMT,XTUN,Tunisia,Africa/Tunis,2023-09-25,
BIST,XIST,Turkey,Europe/Istanbul,2023-09-25,
USE,XUGA,Uganda,Africa/Kampala,2023-09-25,
UX,XUAX,Ukraine,Europe/Kiev,2023-09-25,
DFM,XDFM,United Arab Emirates,Asia/Dubai,2023-09-25,
ADX,XADS,United Arab Emirates,Asia/Dubai,2023-09-25,
NDXB,DIFX,United Arab Emirates,Asia/Dubai,2023-09-25,
LSE,XLON,United Kingdom,Europe/London,2023-09-25,
OTC,PINX,United States,America/New_York,2023-09-25,
OTC,OTCM,United States,America/New_York,2023-09-25,
OTC,EXPM,United States,America/New_York,2023-09-25,
CBOE,BATS,United States,America/New_York,2023-09-25,
IEX,IEXG,United States,America/New_York,2023-09-25,
OTC,OTCQ,United States,America/New_York,2023-09-25,
NASDAQ,XNMS,United States,America/New_York,2023-09-25,
NASDAQ,XNAS,United States,America/New_York,2023-09-25,
OTC,OTCB,United States,America/New_York,2023-09-25,
NASDAQ,XNGS,United States,America/New_York,2023-09-25,
OTC,PSGM,United States,America/New_York,2023-09-25,
NYSE,XNYS,United States,America/New_York,2023-09-25,
ICE,NYBOT,United States,America/New_York,2023-09-25,
NASDAQ,XNCM,United States,America/New_York,2023-09-25,
NYSE,XASE,United States,America/New_York,2023-09-25,
NYSE,ARCX,United States,America/New_York,2023-09-25,
BVCC,BVCA,Venezuela,America/Caracas,2023-09-25,
HNX,XSTC,Vietnam,Asia/Ho_Chi_Minh,2023-09-25,
LUSE,XLUS,Zambia,Africa/Lusaka,2023-09-25,
ZSE,XZIM,Zimbabwe,Africa/Harare,2023-09-25,
