indicator,enable,full_name,type,overlay,parameters,output_values,description,tinting,added_date,deleted_date
macdext,True,Moving Average Convergence Divergence Extended,Momentum Indicators,False,"{'fast_ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'fast_period': {'default': 12, 'min_range': 1, 'type': 'int'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'signal_ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'signal_period': {'default': 9, 'min_range': 1, 'type': 'int'}, 'slow_ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'slow_period': {'default': 26, 'min_range': 1, 'type': 'int'}}","{'macd': {'default_color': '#2708A0', 'display': 'line'}, 'macd_hist': {'default_color': '#B80C09', 'display': 'histogram'}, 'macd_signal': {'default_color': '#B80C09', 'display': 'line'}}",Moving Average Convergence Divergence Extended(MACDEXT) gives greater control over MACD input parameters. MACDEXT has an unstable period ~ 100.,,2023-09-25,
mama,True,MESA Adaptive Moving Average,Overlap Studies,True,"{'fast_limit': {'default': 0.5, 'max_range': 0.99, 'min_range': 0.01, 'type': 'float'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'slow_limit': {'default': 0.05, 'max_range': 0.99, 'min_range': 0.01, 'type': 'float'}}","{'fama': {'default_color': '#4787FF', 'display': 'line'}, 'mama': {'default_color': '#F2710E', 'display': 'line'}}",MESA Adaptive Moving Average(MAMA) adapts to price fluctuations based on the rate of change of the Hilbert Transform Discriminator. More about MAMA can be read [here](http://www.mesasoftware.com/papers/MAMA.pdf).,,2023-09-25,
mavp,False,Moving Average with variable period,Overlap Studies,True,"{'ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'max_period': {'default': 'none'}, 'min_period': {'default': 'none'}, 'periods': {'default': 'none'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'mavp': {'default_color': '#000000', 'display': 'line'}}",,,2023-09-25,
max,True,Highest value over period,Math Operators,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'max': {'default_color': '#000000', 'display': 'line'}}",Highest value over period(MAX).,,2023-09-25,
maxindex,True,Index of highest value over period,Math Operators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'maxidx': {'default_color': '#000000', 'display': 'line'}}",Index of highest value over period(MAXINDEX).,,2023-09-25,
mcginley_dynamic,True,McGinley Dynamic,Overlap Studies,True,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'mcginley_dynamic': {'default_color': '#000000', 'display': 'line'}}",McGinley Dynamic(MCGINLEY_DYNAMIC) keeps all the benefits from the moving averages but adds an adjustment to market speed.,,2023-09-25,
medprice,True,Median Price,Price Transform,True,{},"{'medprice': {'default_color': '#000000', 'display': 'line'}}",Median Price(MEDPRICE).,,2023-09-25,
mfi,True,Money Flow Index,Momentum Indicators,False,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'mfi': {'default_color': '#4e7252', 'display': 'line', 'max_range': 100, 'min_range': 0}}","Money Flow Index(MFI) is used to identify overbought and oversold levels in an asset. In some cases, it can be used to detect divergences, which might be a sign of upcoming trend changes.","{'area': {'color': '#ECC6F4', 'display': 'fill', 'lower_bound': 20, 'transparency': 0.5, 'upper_bound': 80}}",2023-09-25,
midpoint,True,MidPoint over period,Overlap Studies,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'midpoint': {'default_color': '#000000', 'display': 'line'}}",MidPoint over period(MIDPOINT) is calculated as (highest value + lowest value) / 2.,,2023-09-25,
midprice,True,Midpoint Price over period,Overlap Studies,True,"{'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'midprice': {'default_color': '#000000', 'display': 'line'}}",Midpoint Price over period(MIDPRICE) is calculated as (highest high + lowest low) / 2.,,2023-09-25,
min,True,Lowest value over period,Math Operators,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'min': {'default_color': '#000000', 'display': 'line'}}",Lowest value over period(MIN).,,2023-09-25,
minindex,True,Index of lowest value over period,Math Operators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'minidx': {'default_color': '#000000', 'display': 'line'}}",Index of lowest value over period(MININDEX).,,2023-09-25,
minmax,True,Lowest and highest values over period,Math Operators,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'max': {'default_color': '#45A89B', 'display': 'line'}, 'min': {'default_color': '#B80C09', 'display': 'line'}}",Lowest and highest values over period(MINMAX).,,2023-09-25,
minmaxindex,True,Indexes of lowest and highest values over period,Math Operators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'maxidx': {'default_color': '#45A89B', 'display': 'line'}, 'minidx': {'default_color': '#B80C09', 'display': 'line'}}",Indexes of lowest and highest values over period(MINMAXINDEX).,,2023-09-25,
minus_di,True,Minus Directional Indicator,Momentum Indicators,False,"{'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'minus_di': {'default_color': '#000000', 'display': 'line'}}","Minus Directional Indicator(MINUS_DI) is a component of the Average Directional Index(ADX), and it measures the existence of downtrend.",,2023-09-25,
minus_dm,True,Minus Directional Movement,Momentum Indicators,False,"{'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'minus_dm': {'default_color': '#000000', 'display': 'line'}}",Minus Directional Movement(MINUS_DM) is calculated as Previous Low - Low.,,2023-09-25,
mom,True,Momentum,Momentum Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'mom': {'default_color': '#4e7252', 'display': 'line'}}",Momentum(MOM) compares the current price with the previous price N timeperiods ago.,,2023-09-25,
mult,True,Arithmetic Multiply,Math Operators,False,"{'series_type_1': {'default': 'open', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'series_type_2': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'mult': {'default_color': '#000000', 'display': 'line'}}",Multiplication of values of two specified time series.,,2023-09-25,
natr,True,Normalized Average True Range,Volatility Indicators,False,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'natr': {'default_color': '#000000', 'display': 'line'}}","Normalized Average True Range(NATR) is used to compare and analyze across different price levels due to its normalized quality, which might be more effective than the original ATR.",,2023-09-25,
obv,True,On Balance Volume,Volume Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'obv': {'default_color': '#4787FF', 'display': 'line'}}","On Balance Volume(OBV) is a momentum indicator, which uses volume flow to forecast upcoming price changes.",,2023-09-25,
percent_b,True,%B Indicator,Volatility Indicators,False,"{'ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'sd': {'default': 2, 'max_range': 50, 'min_range': 0.001, 'type': 'float'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 20, 'min_range': 1, 'type': 'int'}}","{'percent_b': {'default_color': '#45A89B', 'display': 'line'}}",%B Indicator(PERCENT_B) measures the position of an asset price relative to upper and lower Bollinger Bands.,"{'area': {'color': '#45A89B', 'display': 'fill', 'lower_bound': 0, 'transparency': 0.5, 'upper_bound': 1}}",2023-09-25,
pivot_points_hl,True,Pivot Points (High/Low),Trend Indicators,False,"{'time_period': {'default': 10, 'min_range': 1, 'type': 'int'}}","{'pivot_point_h': {'default_color': '#87A878', 'display': 'points'}, 'pivot_point_l': {'default_color': '#B80C09', 'display': 'points'}}","Pivot Points (High/Low), also known as Bar Count Reversals, are used to anticipate potential price reversals.",,2023-09-25,
plus_di,True,Plus Directional Indicator,Momentum Indicators,False,"{'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'plus_di': {'default_color': '#000000', 'display': 'line'}}","Plus Directional Indicator(PLUS_DI) is a component of the Average Directional Index(ADX), and it measures the existence of uptrend.",,2023-09-25,
plus_dm,True,Plus Directional Movement,Momentum Indicators,False,"{'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'plus_dm': {'default_color': '#000000', 'display': 'line'}}",Plus Directional Movement(PLUS_DM) is calculated as High - Previous High.,,2023-09-25,
ppo,True,Percentage Price Oscillator,Momentum Indicators,False,"{'fast_period': {'default': 12, 'min_range': 1, 'type': 'int'}, 'ma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'slow_period': {'default': 26, 'min_range': 1, 'type': 'int'}}","{'ppo': {'default_color': '#2708A0', 'display': 'line'}}",Percentage Price Oscillator(PPO) shows the relationship between two Moving Averages(MA) as a percentage.,,2023-09-25,
roc,True,Rate of change,Momentum Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'roc': {'default_color': '#2708A0', 'display': 'line'}}",Rate of change(ROC) calculates the rate of change between the current price and price n timeperiods ago. Formula: ((price / prevPrice) - 1) * 100.,,2023-09-25,
rocp,True,Rate of change percentage,Momentum Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'rocp': {'default_color': '#2708A0', 'display': 'line'}}",Rate of change percentage(ROCP) calculates the rate of change in % between the current price and price n timeperiods ago. Formula: (price - prevPrice) / prevPrice.,,2023-09-25,
rocr,True,Rate of change ratio,Momentum Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'rocr': {'default_color': '#2708A0', 'display': 'line', 'min_range': 0}}",Rate of change ratio(ROCR) calculates the ratio between the current price and price n timeperiods ago. Formula: (price / prevPrice).,,2023-09-25,
rocr100,True,Rate of change ratio 100 scale,Momentum Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'rocr100': {'default_color': '#2708A0', 'display': 'line', 'min_range': 0}}",Rate of change ratio 100 scale(ROCR100) calculates the ratio with 100 scale between the current price and price n timeperiods ago. Formula: (price / prevPrice) * 100.,,2023-09-25,
rsi,True,Relative Strength Index,Momentum Indicators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'rsi': {'default_color': '#9F87AF', 'display': 'line', 'max_range': 100, 'min_range': 0}}","Relative Strength Index(RSI) is a momentum indicator, which calculates the magnitude of a price change to assess the overbought and oversold conditions in the price of an asset.","{'area': {'color': '#9F87AF', 'display': 'fill', 'lower_bound': 30, 'transparency': 0.5, 'upper_bound': 70}}",2023-09-25,
rvol,True,Relative Volume Indicator,Momentum Indicators,False,"{'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'rvol': {'default_color': '#9F87AF', 'display': 'line'}}",Relative Volume Indicator(RVOL) shows how the current trading volume is compared to past volume over a given period.,,2023-09-25,
sar,True,Parabolic SAR,Overlap Studies,True,"{'acceleration': {'default': 0.02, 'max_range': 0.1, 'min_range': 0.001, 'type': 'float'}, 'maximum': {'default': 0.2, 'max_range': 0.2, 'min_range': 0.001, 'type': 'float'}}","{'sar': {'default_color': '#2708A0', 'display': 'points'}}",Parabolic SAR(SAR) is used to identify and spot upcoming asset momentum.,,2023-09-25,
sarext,True,Parabolic SAR Extended,Overlap Studies,True,"{'acceleration_limit_long': {'default': 0.02, 'type': 'float'}, 'acceleration_limit_short': {'default': 0.02, 'type': 'float'}, 'acceleration_long': {'default': 0.02, 'type': 'float'}, 'acceleration_max_long': {'default': 0.2, 'type': 'float'}, 'acceleration_max_short': {'default': 0.2, 'type': 'float'}, 'acceleration_short': {'default': 0.02, 'type': 'float'}, 'offset_on_reverse': {'default': 0, 'type': 'float'}, 'start_value': {'default': 0, 'type': 'float'}}","{'sarext': {'default_color': '#2708A0', 'display': 'points'}}",Parabolic SAR Extended(SAREXT) inherits the idea of classic SAR indicator but adds more flexibility in setting parameters.,,2023-09-25,
sin,False,Sine,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'sin': {'default_color': '#000000', 'display': 'line'}}",,,2023-09-25,
sinh,False,Hyperbolic Sine,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'sinh': {'default_color': '#000000', 'display': 'line'}}",,,2023-09-25,
sma,True,Simple Moving Average,Overlap Studies,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'sma': {'default_color': '#2708A0', 'display': 'line'}}",Simple Moving Average(SMA) is an arithmetic moving average calculated by adding the latest closing prices and then dividing them by the number of time periods.,,2023-09-25,
sqrt,True,Square Root,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'sqrt': {'default_color': '#000000', 'display': 'line'}}",Square Root(SQRT) transforms input data with square root.,,2023-09-25,
stddev,True,Standard Deviation,Statistic Functions,False,"{'sd': {'default': 2, 'max_range': 50, 'min_range': 0.001, 'type': 'float'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'stddev': {'default_color': '#000000', 'display': 'line'}}",Standard Deviation(STDDEV) is used to measure volatility. This might be important when assessing risks.,,2023-09-25,
stoch,True,Stochastic Oscillator,Momentum Indicators,False,"{'fast_k_period': {'default': 14, 'min_range': 1, 'type': 'int'}, 'slow_d_period': {'default': 3, 'min_range': 1, 'type': 'int'}, 'slow_dma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'slow_k_period': {'default': 1, 'min_range': 1, 'type': 'int'}, 'slow_kma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}}","{'slow_d': {'default_color': '#B80C09', 'display': 'line', 'max_range': 100, 'min_range': 0}, 'slow_k': {'default_color': '#2708A0', 'display': 'line', 'max_range': 100, 'min_range': 0}}",Stochastic Oscillator(STOCH) is used to decide if the price trend is strong.,"{'area': {'color': '#b486ab', 'display': 'fill', 'lower_bound': 20, 'transparency': 0.5, 'upper_bound': 80}}",2023-09-25,
stochf,True,Stochastic Fast,Momentum Indicators,False,"{'fast_d_period': {'default': 3, 'min_range': 1, 'type': 'int'}, 'fast_dma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'fast_k_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'fast_d': {'default_color': '#B80C09', 'display': 'line', 'max_range': 100, 'min_range': 0}, 'fast_k': {'default_color': '#2708A0', 'display': 'line', 'max_range': 100, 'min_range': 0}}","Stochastic Fast(STOCHF) is more sensitive to price changes; therefore, it changes direction more quickly.","{'area': {'color': '#b486ab', 'display': 'fill', 'lower_bound': 20, 'transparency': 0.5, 'upper_bound': 80}}",2023-09-25,
stochrsi,True,Stochastic RSI,Momentum Indicators,False,"{'fast_d_period': {'default': 3, 'min_range': 1, 'type': 'int'}, 'fast_dma_type': {'default': 'SMA', 'range': ['SMA', 'EMA', 'WMA', 'DEMA', 'TEMA', 'TRIMA', 'KAMA', 'MAMA', 'T3MA'], 'type': 'string'}, 'fast_k_period': {'default': 3, 'min_range': 1, 'type': 'int'}, 'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 14, 'min_range': 1, 'type': 'int'}}","{'fast_d': {'default_color': '#B80C09', 'display': 'line', 'max_range': 100, 'min_range': 0}, 'fast_k': {'default_color': '#2708A0', 'display': 'line', 'max_range': 100, 'min_range': 0}}","Stochastic RSI(STOCHRSI) as an independent indicator takes advantage of the STOCH and RSI indicators. It is used to determine overbought and oversold levels, as well as current market trends for an asset.","{'area': {'color': '#b486ab', 'display': 'fill', 'lower_bound': 20, 'transparency': 0.5, 'upper_bound': 80}}",2023-09-25,
sub,True,Arithmetic Subtraction,Math Operators,False,"{'series_type_1': {'default': 'open', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'series_type_2': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'sub': {'default_color': '#000000', 'display': 'line'}}",Subtraction of values of two specified time series.,,2023-09-25,
sum,True,Vector Summation,Math Operators,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'sum': {'default_color': '#000000', 'display': 'line'}}",Summation of values of two specified time series.,,2023-09-25,
supertrend,True,SuperTrend Indicator,Overlap Studies,True,"{'multiplier': {'default': 3, 'min_range': 1, 'type': 'int'}, 'period': {'default': 10, 'min_range': 1, 'type': 'int'}}","{'supertrend': {'default_color': '#000000', 'display': 'line'}}",SuperTrend Indicator(SUPERTREND) is mostly used on intraday timeframes to detect the price upward or downward direction in the trending market.,,2023-09-25,
supertrend_heikinashicandles,True,SuperTrendHeikinAshiCandles Indicator,Overlap Studies,True,"{'multiplier': {'default': 3, 'min_range': 1, 'type': 'int'}, 'period': {'default': 10, 'min_range': 1, 'type': 'int'}}","{'heikincloses': {'display': 'candle'}, 'heikinhighs': {'display': 'candle'}, 'heikinlows': {'display': 'candle'}, 'heikinopens': {'display': 'candle'}, 'supertrend': {'default_color': '#000000', 'display': 'line'}}",SuperTrendHeikinAshiCandles Indicator(SUPERTREND_HEIKINASHICANDLES) is mostly used on intraday timeframes to detect the price upward or downward direction in the trending market and is built on top of the Heikin-Ashi Candles values.,,2023-09-25,
t3ma,True,Triple Exponential Moving Average,Overlap Studies,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}, 'v_factor': {'default': 0.7, 'max_range': 1, 'min_range': 0, 'type': 'float'}}","{'t3ma': {'default_color': '#2708A0', 'display': 'line'}}",Triple Exponential Moving Average(T3MA) makes better smoothing of moving average than the classical TEMA indicator by extending the lookback period and applying other enhanced parameters.,,2023-09-25,
tan,False,Tangent,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'tan': {'default_color': '#000000', 'display': 'line'}}",,,2023-09-25,
tanh,False,Hyperbolic Tangent,Math Transform,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}}","{'tanh': {'default_color': '#000000', 'display': 'line', 'max_range': 100, 'min_range': -100}}",,,2023-09-25,
tema,True,Triple Exponential Moving Average,Overlap Studies,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'tema': {'default_color': '#2708A0', 'display': 'line'}}","Triple Exponential Moving Average(TEMA) smooths out price fluctuations, making it more trend detection and more transparent without the lag.",,2023-09-25,
trange,True,True Range,Volatility Indicators,False,{},"{'trange': {'default_color': '#000000', 'display': 'line'}}",True Range(TRANGE) is usually used as the base when calculating other indicators. TRANGE determines the normal trading range of an asset.,,2023-09-25,
trima,True,Triangular Moving Average,Overlap Studies,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'trima': {'default_color': '#2708A0', 'display': 'line'}}","Triangular Moving Average(TRIMA) smooths out price fluctuations, but places more weight on the prices in middle of the time period.",,2023-09-25,
tsf,True,Time Series Forecast,Statistic Functions,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'tsf': {'default_color': '#000000', 'display': 'line'}}",Time Series Forecast(TSF) calculates trend based on the last points of multiple regression trendlines.,,2023-09-25,
typprice,True,Typical Price,Price Transform,True,{},"{'typprice': {'default_color': '#000000', 'display': 'line'}}",Typical Price(TYPPRICE).,,2023-09-25,
ultosc,True,Ultimate Oscillator,Momentum Indicators,False,"{'time_period_1': {'default': 7, 'min_range': 1, 'type': 'int'}, 'time_period_2': {'default': 14, 'min_range': 1, 'type': 'int'}, 'time_period_3': {'default': 28, 'min_range': 1, 'type': 'int'}}","{'ultosc': {'default_color': '#B80C09', 'display': 'line', 'max_range': 100, 'min_range': 0}}",Ultimate Oscillator(ULTOSC) takes into account three different time periods to enhance the quality of overbought and oversold signals.,,2023-09-25,
var,True,Variance,Statistic Functions,False,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'var': {'default_color': '#000000', 'display': 'line'}}",Variance(VAR) calculates the spread between data points to determine how far they from the mean.,,2023-09-25,
vwap,True,Volume Weighted Average Price,Overlap Studies,True,"{'sd': {'default': 0, 'min_range': 1, 'type': 'float'}, 'sd_time_period': {'default': 0, 'min_range': 1, 'type': 'int'}}","{'vwap': {'default_color': '#000000', 'display': 'line'}}",Volume Weighted Average Price(VWAP) is commonly used as a trading benchmark that gives an average price at which the instrument has been trading during the day.,,2023-09-25,
wclprice,True,Weighted Close Price,Price Transform,False,{},"{'wclprice': {'default_color': '#000000', 'display': 'line'}}",Weighted Close Price(WCLPRICE) is usually used as the base for other indicators for smoothness. Formula: (high + low + close * 2) / 4.,,2023-09-25,
willr,True,Williams %R,Momentum Indicators,False,"{'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'willr': {'default_color': '#002956', 'display': 'line', 'max_range': 0, 'min_range': -100}}",Williams %R(WILLR) calculates overbought and oversold levels. It can also be used to find entry and exit signals.,"{'area': {'color': '#002956', 'display': 'fill', 'lower_bound': -20, 'transparency': 0.3, 'upper_bound': -80}}",2023-09-25,
wma,True,Weighted Moving Average,Overlap Studies,True,"{'series_type': {'default': 'close', 'range': ['open', 'high', 'low', 'close'], 'type': 'string'}, 'time_period': {'default': 9, 'min_range': 1, 'type': 'int'}}","{'wma': {'default_color': '#2708A0', 'display': 'line'}}","Weighted Moving Average(WMA) smooths out price fluctuations, and puts more weight on recent data points and less on past.",,2023-09-25,
